A&A	Astronomy and Astrophysics
AEEP	Advances in Electronics and Electron Physics
AEEPS	Advances in Electronics and Electron Physics Supplement
AEdJ	Astronomy Education Journal
AEdRv	Astronomy Education Review
AExpr	Astronomy Express
AFChr	Annales Francaises de Chronometrie
AFGL	AFGL-TR-0208 Environemental Research papers
AFLB	Annales de la Fondation Louis de Broglie
AFMa	Air Force Magazine
AFOEV	Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables
AFRE	Alta Frequenza Rivista di Elettronica
AGAb	Astronomische Gesellschaft Abstract Series
AGILE	AGILE: GIScience Series
AGM	Astronomische Gesellschaft Meeting Abstracts
AGUA	AGU Advances
AGUFM	AGU Fall Meeting Abstracts
AGUSM	AGU Spring Meeting Abstracts
AHEEM	Archives of Hydro-Engineering and Environmental Mechanics
AHES	Archive for History of Exact Sciences
AHSJ	American Helicopter Society Journal
AIAAJ	AIAA Journal
AIASJ	AIAA Student Journal
AICSP	Analog Integrated Circuits and Signal Processing
AIChE	AIChE Journal
AIES	Artificial Intelligence for the Earth Systems
AIGS	Artificial Intelligence in Geosciences
AIH	Acoustical Imaging and Holography
AIHAJ	AIHA Journal
AIHPA	Annales de L'Institut Henri Poincare Section (A) Physique Theorique
AIHPB	Annales de L'Institut Henri Poincare Section (B) Probability and Statistics
AIHPC	Annales de L'Institut Henri Poincare Section (C) Non Linear Analysis
AIMSG	AIMS Geosciences
AIPA	AIP Advances
AIPC	American Institute of Physics Conference Series
AIQSY	Annals of the IQSY
AISAO	Astrofizicheskie Issledovaniia Izvestiya Spetsial'noj Astrofizicheskoj Observatorii
AISof	Astrofizicheskie Issledovaniya Sofia
AJ	The Astronomical Journal
AJB	Astronomischer Jahresbericht
AJCh	Australian Journal of Chemistry
AJGeo	American Journal of Geoscience
AJS	The Astronomical Journal Supplement
AJSE	Arabian Journal of Science Engineering
AJSEd	Atlas Journal of Science Education
AJSR	Australian Journal of Soil Research
ALMAN	ALMA Newsletter
AMCE	Archiveds of Civil and Mechanical Engineering
AMGBA	Archives for Meteorology Geophysics and Bioclimatology Series A Meteorology and Atmopsheric Physics
AMGBB	Archives for Meteorology Geophysics and Bioclimatology Series B Theoretical and Applied Climatology
AMGBK	Archiv Meteorologie Geophysik und Bioklimatologie Serie B Klimatologie und Umweltmeteorologie Strahlungsforschung
AMGBS	Archiv Meteorologie Geophysik und Bioklimatologie Serie Meteorologie und Geophysik
AMM	Applied Mechanics and Materials
AMP	Advanced Materials and Processes
AMR	Antarctic Meteorite Research
AMSBu	Bulletin of the American Meteorological Society
AMT	Atmospheric Measurement Techniques
AMTD	Atmospheric Measurement Techniques Discussions
AMTM	Archives of Mechanical Technology and Materials
AMat	Applied Mathematics
AN	Astronomische Nachrichten
ANLAF	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche e Naturali
ANLAM	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Matematica e Applicazioni
ANLAR	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche Matematiche e Naturali
ANS	Astronomische Nachrichten Supplement
ANSNN	Advances in Natural Sciences: Nanoscience and Nanotechnology
ANZi	Beobachtungs-Zirkular der Astronomischen Nachrichten
AOIJ	Academic Open Internet Journal
AOPP	Atmospheric Oceanic and Planetary Physics
AOSL	Atmospheric and Oceanic Science Letters
AOTok	Annales de l'Observatoire astronomique de Tokyo
APCAJ	Air Pollution Control Association Journal
APCRS	Archives of Photogrammetry, Cartography and Remote Sensing
APEC	Active and Passive Electronic Components
APExp	Applied Physics Express
APFUS	Annals of the Physics Faculty of the University of Sofia
APHHI	Acta Physica Hungarica Heavy Ion Physics
APHQE	Acta Physica Hungarica Quantum Electronics
APJAS	Asia-Pacific Journal of Atmospheric Sciences
APLM	APL Materials
APLP	APL Photonics
APMat	Advanced Performance Materials
APPSB	Association of Asia Pacific Physical Societies Bulletin
APS	APS Meeting Abstracts
APS..4CF	APS Four Corners Section Meeting Abstracts
APS..APR	APS April Meeting Abstracts
APS..CAL	APS California Section Meeting Abstracts
APS..DFD	APS Division of Fluid Dynamics Meeting Abstracts
APS..DMP	APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts
APS..DNP	APS Division of Nuclear Physics Meeting Abstracts
APS..DPP	APS Division of Plasma Physics Meeting Abstracts
APS..GEC	APS Annual Gaseous Electronics Meeting Abstracts
APS..MAR	APS March Meeting Abstracts
APS..NEF	APS New England Section Fall Meeting Abstracts
APS..NES	APS New England Section Spring Meeting Abstracts
APS..NWS	APS Northwest Section Meeting Abstracts
APS..OSF	APS Ohio Sections Fall Meeting Abstracts
APS..OSS	APS Ohio Sections Spring Meeting Abstracts
APS..PSF	APS Prairie Section Meeting Abstracts
APS..SES	APS Southeastern Section Meeting Abstracts
APS..SHK	APS Shock Compression of Condensed Matter Meeting Abstracts
APS..TSF	APS Texas Sections Fall Meeting Abstracts
APS..TSS	APS Texas Sections Spring Meeting Abstracts
APh	Astroparticle Physics
APhy	Acoustical Physics
AR&T	Astronomical Research and Technology
ARA&A	Annual Review of Astronomy and Astrophysics
ARAC	Annual Review of Analytical Chemistry
ARAOJ	Annual Report of the National Astronomical Observatory of Japan
ARBl	Aerospace Research in Bulgaria
ARCMP	Annual Review of Condensed Matter Physics
AREPS	Annual Review of Earth and Planetary Sciences
ARIJ	An Interdisciplinary Journal of Physical and Engineering Sciences
ARIST	Annual Review of Information Science and Technology
ARMS	Annual Review of Marine Science
ARNPS	Annual Review of Nuclear and Particle Science
ARPC	Annual Review of Physical Chemistry
ARPM	Adgeziia Rasplavov i Paika Materialov
AReg	Astronomical register
ARep	Astronomy Reports
AS&T	Aerosol Science & Technology
ASAJ	Acoustical Society of America Journal
ASBTV	Archenhold-Sternwarte Berlin-Treptow, Vortrage Schr.
ASCMO	Advances in Statistical Climatology Meteorology and Oceanography
ASFAS	Academia Scientiarum Fennica Annales Series Physica
ASHRA	ASHRAE Journal
ASIB	NATO Advanced Study Institute (ASI) Series B
ASIC	NATO Advanced Study Institute (ASI) Series C
ASInC	Astronomical Society of India Conference Series
ASL	Advanced Science Letters
ASLLR	Accademia di Scienze e Lettere Istituto Lombardo Rendiconti Serie della Classe di Scienze Matematiche e Naturali Sezione Scienze Matematiche Fisiche Chimiche e Geologiche
ASME	American Society of Mechanical Engineers
ASNYN	News Letter of the Astronomical Society of New York
ASPC	Astronomical Society of the Pacific Conference Series
ASPC532	Astronomical Data Analysis Software and Systems XXX
ASPL	Leaflet of the Astronomical Society of the Pacific
ASPLS	Leaflet of the Astronomical Society of the Pacific (Supplement)
ASPRv	Astrophysics and Space Physics Reviews
ASSAB	Academie Serbe des Sciences et des Arts Bulletin Classe des Sciences Techniques
ASSB	Annales de la Soci&eacute;t&eacute; Scientifique de Bruxelles
ASSF	Acta Societatis Scientarum Fennicae
ASSFA	Acta Societatis Scientarum Fennicae Series A
ASSL	Astrophysics and Space Science Library
ASSP	Astrophysics and Space Science Proceedings
ASST	Advances in Space Science and Technology
ASTRA	Astrophysics and Space Sciences Transactions
ASTRP	ASTRA Proceedings
ATJAM	ASME Journal of Applied Mechanics
ATJDS	ASME Journal of Dynamic Systems and Measurement Control B
ATJEG	ASME Journal of Engineering Gas Turbines and Power
ATJEM	ASME Journal Engineering Materials and Technology
ATJEP	ASME Journal of Engineering Power
ATJEl	ASME Journal of Electronic Packaging
ATJFE	ASME Journal of Fluids Engineering
ATJHT	ASME Journal of Heat Transfer
ATJLT	ASME Journal of Lubrication Technology
ATJSE	ASME Journal of Solar Energy and Engineering
ATJTr	ASME Journal of Tribology
ATJTu	ASME Journal of Turbomachinery
ATJVA	ASME Journal of Vibration Acoustics
ATMAB	Association Technique Maritime et Aeronautique Bulletin
ATMAS	Association Technique Maritime et Aeronautique Session Paris France ONERA TP
ATOM	Astronomy: Theory, Observations and Methods
ATR	ATR Australian Telecommunication Research
ATTM	AEG Telefunken Technische Mitteilungen
ATTTJ	AT T Technical Journal
ATel	The Astronomer's Telegram
ATel1	The Astronomer's Telegram
ATi	Astronomisk Tidsskrift
ATsir	Astronomicheskij Tsirkulyar
AUGGM	Annales UMCS, Geographia, Geologia, Mineralogia et Petrographia
AUSPh	Annales UMCS, Sectio AAA: PHYSICA
AVET	Atomno Vodorodnaia Energetika i Tekhnologiia
AVISS	Astronomicheskii Vestnik Issledovaniia Solnechnoi Sistemy
AVSOM	American Association of Variable Stars Observers Monographs
AVSOR	American Association of Variable Stars Observers Reports
AVSQS	AVS Quantum Science
AVest	Astronomicheskii Vestnik
AWUTP	Annals of West University of Timisoara - Physics
AZWis	Astronomisches Zirkular der Akademie der Wissenschaften der UdSSR
AZh	Astronomicheskii Zhurnal
AbApA	Abstract and Applied Analysis
AbAst	Abenteuer Astronomie
AbICA	Abstracts of the ICA
AbaOB	Abastumanskaia Astrofizicheskaia Observatoriia Byulleten
AbbOO	Abbadia Observatory Observations
AbhBr	Abh. naturwiss. Verein Bremen
AbhKP	Abh. Konigl. Preuss. Akad. Wissenschaften Jahre 1906,92, Berlin,1907
AbhP	Abh. der Preuss. Akademie der Wissenschaften Jahrg
AcA	Acta Astronomica
AcAAS	Acta Aeronautica et Astronautica Sinica
AcAM	Acta Applicandae Mathematicae
AcASn	Acta Astronomica Sinica
AcAT	Acta Astrophysica Taurica
AcAau	Acta Astronautica
AcAcu	Acta Acustica
AcAer	Acta Aerodynamica Sinica
AcApS	Acta Astrophysica Sinica
AcAri	Acta Arithmetica
AcArm	Acta Armamentarii
AcAuS	Acta Automatica Sinica
AcBio	Acta Biotheoretica
AcBu	Acoust. Bull.
AcC	Acta Cosmologica
AcChR	Accounts Chem. Res.
AcCrA	Acta Crystallographica Section A
AcCrB	Acta Crystallographica Section B-structural Science
AcCrC	Acta Crystallographica Section C-crystal Structure Communications
AcCrD	Acta Crystallographica Section D
AcESn	Acta Electron. Sinica
AcElS	Acta Electronica Sinica
AcElc	Electrochimica Acta
AcEle	Acta Electronica
AcGG	Acta Geodaetica et Geophysica
AcGSn	Acta Geophys. Sinica
AcGdG	Acta Geodynamica et Geomaterialia
AcGeP	Acta Geophysica Polonica
AcGeo	Acta Geophysica
AcHA	Acta Historica Astronomiae
AcHCh	Helvetica Chimica Acta
AcHPS	Helvetica Physica Acta Supplementum
AcHPh	Helvetica Physica Acta
AcM	Acta Mathematica
AcM&M	Acta Metallurgica et Materialia
AcMCS	Acta Materiae Compositae Sinica
AcMPS	Acta Universitatis Caroliae. Mathematica et Physica Supplement
AcMPh	Acta Universitatis Caroliae. Mathematica et Physica
AcMSS	Acta Mechanica Solida Sinica
AcMSn	Acta Mechanica Sinica
AcMSw	Acta Mathematica Sweden
AcMT	Acta Materialia Transylvanica
AcMa	Acta Mathematica
AcMaH	Acta Mathematica Hungarica
AcMaS	Acta Mathematica Sinica
AcMat	Acta Materialia
AcMeS	Acta Meteorologica Sinica
AcMec	Acta Mechanica
AcMet	Acta Metallurgica
AcMik	Mikrochimica Acta
AcNum	Acta Numerica
AcO	Acta Oecologica
AcOSi	Acta Oceanica Sinica
AcOc	Oceanologica Acta
AcOdS	Acta Odontologica Scandinavica
AcOpS	Acta Optica Sinica
AcOpt	Optica Acta
AcOrS	Acta Orthopaedica Scandinavica
AcPAS	Acta Physica Austriaca Supplement
AcPP	Acta Physica Polonica
AcPPA	Acta Physica Polonica A
AcPPB	Acta Physica Polonica B
AcPPP	Acta Polytechnica CTU Proceedings
AcPPS	Acta Physica Polonica B, Proceedings Supplement
AcPSc	Acta Polytechnica Scandinavica Applied Physics Series
AcPSi	Acta Photonica Sinica
AcPSl	Acta Physica Slovaca
AcPSn	Acta Physica Sinica
AcPhA	Acta Physica Austriaca
AcPhC	Acta Physica et Chemica
AcPhH	Acta Physica Hungarica
AcPhS	Acta Physiologica Scandinavica
AcPhy	Acta Physica
AcPol	Acta Polytechnica
AcRhe	Rheologica Acta
AcSN	Acta Scientifica Naturalis
AcSSn	Acta Seismologica Sinica
AcSpA	Spectrochimica Acta Part A: Molecular Spectroscopy
AcSpe	Spectrochimica Acta
AcTC	Theoretica Chimica Acta
AcTec	Acta Technica
AcUnC	Acta Universitatis Cibiniensis
AcUni	Acta Universitaria
AcouL	Acoustics Letters
Acu	Acustica
AdA&A	Advances in Astronomy and Astrophysics
AdAMP	Advances in Atomic and Molecular Physics
AdAer	Advances in Aeronautics
AdAnS	Advances in the Astronautical Sciences
AdAp	Advances in Astrophysics
AdApC	Advances in Applied Ceramics
AdApM	Advances in Applied Mathematics
AdAs	Ad Astra
AdAst	Advances in Astronomy
AdAtS	Advances in Atmospheric Sciences
AdBeh	Adaptive Behaviour
AdCIS	Advances in Colloid and Interface Science
AdCM	Advanced Ceramic Materials
AdCMP	Advances in Condensed Matter Physics
AdChP	Advances in Chemical Physics
AdCoL	Advanced Composites Letters
AdCoM	Advances in Computational Mathematics
AdDI	Advanced Devices and Instrumentation
AdEPS	Advances in Earth and Planetary Sciences
AdEl	Advanced Electromagnetics
AdG	Advances in Geosciences
AdGeo	Advances in Geophysics
AdHEP	Advances in High Energy Physics
AdM	Advanced Materials
AdMPC	Advances in Materials Physics and Chemistry
AdMRe	Advances in Magnetic Resonance
AdMS	Advances in Materials Science
AdMSE	Advances in Materials Science and Engineering
AdMUM	Advances in Mechanics Uspekhi Mekhaniki
AdMaP	Advances in Mathematical Physics
AdMat	Advances in Mathematics
AdMet	Advances in Meteorology
AdNOp	Advances in Nonlinear Optics
AdNuP	Advances in Nuclear Physics
AdOP	Advances in Optics and Photonics
AdOT	Advanced Optical Technologies
AdPhX	Advances in Physics X
AdPho	Advanced Photonics
AdPhy	Advances in Physics
AdPlP	Advances in Plasma Physics
AdPlS	Advances in Planetary Science
AdPoS	Advances In Polymer Science
AdQC	Advances in Quantum Chemistry
AdRS	Advances in Radio Science
AdSAC	Advanced Series in Astrophysics and Cosmology
AdSR	Advances in Science and Research
AdSSP	Advances in Solid State Physics
AdSpR	Advances in Space Research
AdTAM	Advances in Theoretical and Applied Mechanics
AdTMP	Advances in Theoretical and Mathematical Physics
AdThP	Advances in Theoretical Physics
AdWR	Advances in Water Resources
Adsor	Adsorption
AeAm	Aerospace America
AeCM	Aerospace Composites and Materials
AeCh	Aerospace China
AeDy	Aerospace Dynamics
AeEn	Aerospace Engineering
AeIBu	Aerokosmicheski Izsledvaniia Bulgariia
AeJ	Aeronautical Journal
AeMat	Aerospace Materials
AeMed	Aerospace Medicine
AeMiS	Aerotecnica Missili &amp; Spazio
AeQ	Aeronautical Quarterly
AeRaG	Aerodinamika Razrezhennykh Gazov
AeSIJ	Aeronautical Society India Journal
AeTJa	Aerospace Technology Japan
Aekv	Aerodinamika kanalov i ventiliatorov
AeoRe	Aeolian Research
AerAs	L'Aeronautique et L'Astronautique
AerMS	L'Aerotecnica Missili e Spazio
AerRv	Revue Aerospatiale
AerSE	Aerosol Science and Engineering
AerST	Aerosol Science Technology
AerSy	Aerospace Systems
AerTe	Aerojet Technology
Aero	Aerospace UK
Aeros	Aerospace
AfRvP	The African Review of Physics
AfrSk	African Skies
Afz	Astrofizika
AgFM	Agricultural and Forest Meteorology
AgMet	Agricultural Meteorology
Agrph	The Astrograph
AiInt	Air International
AirCo	Air et Cosmos
AirE	Aircraft Engineering
AirSE	Air and Space Europe
AirSp	Air and Space
AkAtP	Akademia Athenon Praktika
AkTek	Akustika i Ul trazvukovaia Tekhnika
AkZh	Akusticheskii Zhurnal
AlFr	Alta Frequenza
AmJC	American Journal of Cardiology
AmJM	American Journal of Mathematics
AmJPh	American Journal of Physics
AmJS	American Journal of Science
AmJSA	American Journal of Science and Arts
AmMin	American Mineralogist
AmSci	American Scientist
Ambio	Ambio
AnAIK	Annales de l'Observatoire astronomique de l'Universit&eacute; im&eacute;riale de Kharkow
AnAPM	Annales de l'Observatoire d'astronomie physique de Paris, Section d'astrophysique, &agrave; Meudon
AnAp	Annales d'Astrophysique
AnApS	Annals of Applied Statistics
AnBes	Annales de l'Observatoire de Besancon
AnBio	Analytical Biochemistry
AnBog	Neue Annalen der Koeniglichen Sternwarte in Bogenhausen bei Muenchen
AnBor	Annales de l'Observatoire de Bordeaux
AnBos	Annals of the Bosscha Observatory Lembang (Java) Indonesia
AnBru	Annales de l'Observatoire Royal de Bruxelles
AnCGH	Annals of Royal Observatory, Cape of Good Hope
AnCPh	Annales de Chimie et de Physique
AnCap	Annals of the Cape Observatory
AnChe	Analytical Chemistry
AnDea	Annals of the Dearborn Observatory
AnDud	Annals of the Dudley Observatory
AnEdi	Annals of the Royal Observatory, Edinburgh
AnErg	Ergaenzungshefte zu den Astronomischen Nachrichten
AnFis	Anales de Fisica
AnG	Annales de Geophysique
AnGAG	Annals of Global Analysis Geometry
AnGVP	Annales du Bureau des Longitudes, Gauthier-Villars, Paris
AnGeo	Annales Geophysicae
AnGla	Annals of Glaciology
AnGp	Annals of Geophysics
AnHP	Annales Henri Poincar&eacute;
AnHar	Annals of Harvard College Observatory
AnIHP	Annales De L Institut Henri Poincare-physique Theorique
AnIPS	Annals of the Israel Physical Society
AnISM	Annals of the Institute of Statistical Mathematics
AnLL	Annals of the Observatory of Lucien Libert
AnLei	Annalen van de Sterrewacht te Leiden
AnLow	Annals of the Lowell Observatory
AnLuS	Annals of the Observatory of Lund Supplement
AnLun	Annals of the Observatory of Lund
AnMAI	Annals of Mathematics and Artificial Intelligence
AnMN	Antarctic Meteorite Newsletter
AnMP	Analysis and Mathematical Physics
AnMat	Annals of Mathematics
AnMet	Annalen Meteorologie
AnMuS	Supplementband zu den Annalen der Munchener Sternwarte
AnMun	Annalen der Koeniglichen Sternwarte bei Muenchen
AnNic	Annales de l'Observatoire de Nice
AnOB	Annales de l'Observatoire Royal de Belgique
AnOBN	Annales de l'Observatoire Royal de Belgique Nouvelle serie
AnOLL	Annals of the Private Observatory of Lucien Libert
AnOR	Annals of Operations Research
AnOSt	Annales de l'Observatoire de Strasbourg
AnP	Annalen der Physik
AnPCS	Annales de Physique Colloque Supplement
AnPOb	Annales de l'Observatoire de Paris. Observations
AnPal	Annales de pal&eacute;ontologie
AnPar	Annales de l'Observatoire de Paris
AnPh	Annales de Physique
AnPhy	Annals of Physics
AnRE	Annual Review of Energy
AnRFM	Annual Review of Fluid Mechanics
AnRMS	Annual Review of Materials Research
AnRS	Antarctic Research Series
AnRSA	Annual Review of Statistics and Its Application
AnRio	Annales de l'Observatoire Imperial de Rio de Janeiro
AnSAO	Annals of the Astrophysical Observatory of the Smithsonian Institution
AnSPC	Annals of the Solar Physics Observatory Cambridge England
AnSSM	Annals of Solid and Structural Mechanics
AnSWi	Annalen der K.K. Universitaets-Sternwarte in Wien
AnSci	Annals of Science
AnShO	Shanghai Observatory Annals
AnSta	Annals of Statistics
AnStr	Annalen der Kaiserlichen Universitats-Sternwarte in Strassburg
AnTec	Annales Tectonicae
AnTel	Annales des Telecommunications
AnTok	Annals of the Tokyo Astronomical Observatory
AnTou	Annales de l'Observatoire Astron. et Meteo. de Toulouse
AnUCP	Annals of the University of Craiova Physics AUC
AnWiD	Annalen der Universitaets-Sternwarte Wien, Dritter Folge
AnWie	Annalen der K.K. Sternwarte Wien
AnZoC	Annales de l'Observatoire astronomique de Z&ocirc;-s&egrave; (Chine)
Ana	The Analyst
AnaCh	Analytical Chemistry
AnaIn	Analytical Instrumentation
Anews	ASTRON Newsletter
AngCh	Angewandte Chemie
AntAs	The Antiquarian Astronomer
AntSc	Antarctic Science
Anten	Antenny
Anthr	Anthropocene
Antk	Antarktika
Ap	Astrophysics
Ap&SS	Astrophysics and Space Science
ApAI	Applied Artificial Intelligence
ApAN	Apatity Akademiia Nauk SSSR
ApAc	Applied Acoustics
ApCM	Applied Composite Materials
ApCS	Applied Clay Science
ApEaS	Applied Earth Science
ApEn	Applied Energy
ApEnM	Applied and Environmental Microbiology
ApGC	Applied Geochemistry
ApGS	Applied Computing and Geosciences
ApGeo	Applied Geophysics
ApHyd	Applied Hydrogeology
ApInv	Astrophysical Investigations
ApJ	The Astrophysical Journal
ApJL	The Astrophysical Journal Letters
ApJS	The Astrophysical Journal Supplement Series
ApKF	Apatity Kol skii Filial AN SSSR
ApL	Astrophysical Letters
ApL&C	Astrophysical Letters and Communications
ApMF	Applied Mathematical Finance
ApMM	Applied Mathematics and Mechanics
ApMRv	Applied Mechanics Reviews
ApMT	Applied Microgravity Technology
ApMa	Applications of Mathematics
ApMaC	Applied Mathematics Computation
ApMaL	Applied Mathematics Letters
ApMaM	Applied Mathematics Mechanics English Edition
ApMaO	Applied Mathematics Optimization
ApMat	Aplikace Matematiky, Applied Mathematics
ApMic	Applied Microbiology
ApNM	Applied Numerical Mathematics
ApNan	Applied Nanoscience
ApNr	Astrophysica Norvegica
ApOpt	Applied Optics
ApPPL	Applied Physics B Photophysics Laser Chemistry
ApPRv	Applied Physics Reviews
ApPhA	Applied Physics A: Materials Science & Processing
ApPhB	Applied Physics B: Lasers and Optics
ApPhC	Applied Physics Communications
ApPhL	Applied Physics Letters
ApPhR	Applied Physics Research
ApPhy	Applied Physics
ApSE	Applied Solar Energy
ApSRA	Applied Scientific Research Section A
ApSRB	Applied Scientific Research Section B
ApSRv	Applied Spectroscopy Reviews
ApSS	Applied Surface Science
ApSSP	Astrophysics and Space Science Proceedings
ApSSS	Astrophysics and Space Science Supplement
ApScR	Applied Scientific Research
ApSpe	Applied Spectroscopy
ApSup	Applied Superconductivity
ApWS	Applied Water Science
Apei	Apeiron
AppAn	Applicable Analysis
ArA	Arkiv for Astronomi
ArAco	Archives Acoustics
ArAku	Archiwum Akustyki
ArAuT	Archiwum Automatyki i Telemechaniki
ArBei	Astrophysics Reports Publications of the Beijing Astronomical Observatory
ArBuM	Archiwum Budowy Maszyn
ArCom	Archivum Combustionis
ArElU	Archiv Elektronik und Uebertragungstechnik
ArEle	Archiwum Elektrotechniki
ArG	Arkiv for Geofysik
ArJPh	Armenian Journal of Physics
ArM	Arkiv for Matematik
ArMAF	Arkiv for Matematik, Astronomi och Fysik
ArMaN	Archiv for Mathematik og Naturvidenskab
ArMeS	Archiv of Mechanics, Archiwum Mechaniki Stosowanej
ArMiS	Archives of Mining Sciences
ArNSc	Archives Neerlandaises des Sciences Exactes et Naturelles
ArPSp	Archiwum Procesow Spalania
ArRMA	Archive for Rational Mechanics and Analysis
ArS	Archives des Sciences
ArSPN	Archives des Sciences Physiques et Naturelles
ArTSp	Archiwum Termodynamiki i Spalania
ArTh	Archives of Thermodynamics
ArTr	Archives of Transport
Arch	Archaeoastronomy
ArchS	Archaeoastronomy Supplement
Archa	Archaeometry
ArtSa	Artificial Satellites
As&Ge	Astronomiya i geodeziya
AsAc	Astronautica Acta
AsAer	Astronautics Aeronautics
AsAna	Asymptotic Analysis
AsAut	Assembly Automation
AsBio	Astrobiology
AsDyn	Astrodynamics
AsJES	Austrian Journal of Earth Sciences
AsJPh	Asian Journal of Physics
AsNot	Astronomical Notices
AsNow	Astronomy Now
AsSch	Astronomie in der Schule
AsUAI	Astronomia. La rivista dell' Unione Astrofili Italiani
Aslib	Aslib Proceedings: new information perspectives
Asnau	Astronautik
Ast	Astronomy
AstAp	Astronomy and Astro-Physics (formerly The Sidereal Messenger)
AstBa	Biblioteca "Astrei Basarabene"
AstBu	Astrophysical Bulletin
AstHe	Astronomical Herald
AstL	Astronomy Letters
AstPo	Astropolitics
AstQ	Astronomy Quarterly
AstRv	The Astronomical Review
AstSR	Astronomical School's Report
AstUI	Analele stiintifice ale Universitatii Iasi
Aster	Aster
Astnm	Astronomia UAI
Astr	The Astronomer
Astro	Astronomy
AtERv	Atomic Energy Review
AtEn	Atomnaia Energiia
AtKe	Atomkernenergie
AtO	Atmosphere Ocean
AtOO	Atmospheric and Oceanic Optics
AtOpt	Atmosphere Optics
AtPhy	Atomic Physics
AtST	Atomisation Spray Technology
AtSc	Atmospheric Science
AtScL	Atmospheric Science Letters
AtlVS	Atlas Poiskovykh Kart Peremennykh Zvezd
AtmEA	Atmospheric Environment Part A, General Topics
AtmEB	Atmospheric Environment Part B
AtmEX	Atmospheric Environment: X
AtmEn	Atmospheric Environment
AtmPR	Atmospheric Pollution Research
AtmRe	Atmospheric Research
AtmTe	Atmospheric Technology
Atmo	Atm&oacute;sfera
Atmos	Atmosphere
Atoms	Atoms
AuJA	Australian Journal of Astronomy
AuJES	Australian Journal of Earth Sciences
AuJPA	Australian Journal of Physics Astrophysical Supplement
AuJPh	Australian Journal of Physics
AuMM	Australian Meteorological Magazine
AuMSJ	Australian Mathematical Society Journal Series B -- Applied Mathematics
AuRob	Autonomous Robots
AuSRA	Australian Journal of Scientific Research A Physical Sciences
AurPh	Auroral physics
Autom	Automatica
AvKos	Aviatsiia i Kosmonavtika
AvPE	Avtomatizatsiia Proektirovaniia Elektronike
AvSeM	Aviation Space and Environmental Medicine
AvTek	Aviatsionnaia Tekhnika
AvTel	Avtomatika i Telemekhanika
AvWST	Aviation Week Space Technology
Avtme	Avtometriia
AzAJ	Azerbaijani Astronomical Journal
